ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2483946-20190216,2640512,379857,4,PREMIER CATERING & EVENTS LLC,PREMIER CATERING & EVENTS,500 W JACKSON BLVD 1ST,CHICAGO,IL,60661,34,12,34-12,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2483946,RENEW,,12/15/2018,03/06/2019,N,02/16/2019,07/15/2019,03/06/2019,03/07/2019,AAI,,,41.878153523,-87.639638623,POINT (-87.63963862300314 41.87815352261035)
2670919-20190724,2670919,360549,4,THE BEER TEMPLE LLC,THE BEER TEMPLE,3169-3175 N ELSTON AVE,CHICAGO,IL,60618,35,19,35-19,14,1474,Package Goods,774,Retail Sales of Packaged Liquor,2670919,C_EXPA,05/30/2019,06/12/2019,06/12/2019,N,07/24/2019,09/15/2019,07/24/2019,07/24/2019,AAI,,,41.93877274,-87.697205524,POINT (-87.69720552355243 41.93877273984495)
1898745-20190816,2673995,301605,2,ETA WHOLESALE & RETAIL INC.,DOLLAR PRICE PLUS,3041 N PULASKI RD 1,CHICAGO,IL,60641,31,16,31-16,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,1898745,RENEW,,06/15/2019,08/16/2019,N,08/16/2019,11/15/2019,08/16/2019,08/16/2019,AAI,,,41.936635931,-87.726968915,POINT (-87.72696891450994 41.93663593117463)
2555853-20191216,2704049,5273,52,ALDI INC.,ALDI INC. #53,5501 S HARLEM AVE 1,CHICAGO,IL,60638,23,1,23-1,8,1474,Package Goods,774,Retail Sales of Packaged Liquor,2555853,RENEW,,12/04/2019,12/04/2019,N,12/16/2019,01/15/2020,12/04/2019,12/04/2019,AAI,,,41.791852065,-87.801377799,POINT (-87.80137779892857 41.7918520654401)
2469767-20190716,2665761,15538,26,TARGET CORPORATION,TARGET STORE T-3208,3204 N CLARK ST,CHICAGO,IL,60657,44,20,44-20,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2469767,RENEW,,05/15/2019,06/20/2019,N,07/16/2019,02/15/2020,06/20/2019,06/21/2019,AAI,,17,41.940087278,-87.650960931,POINT (-87.65096093052412 41.94008727755832)
2542069-20191016,2685203,15538,28,TARGET CORPORATION,TARGET STORE T-3214,3300 N ASHLAND AVE,CHICAGO,IL,60657,32,47,32-47,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2542069,RENEW,,08/15/2019,09/20/2019,N,10/16/2019,02/15/2020,09/20/2019,09/23/2019,AAI,,27,41.941565858,-87.668860403,POINT (-87.6688604029088 41.94156585778224)
2493190-20191016,2687732,400511,2,UMLAUT BREWING LLC,OFF COLOR BREWING,1460 N KINGSBURY ST,CHICAGO,IL,60642,27,46,27-46,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2493190,RENEW,,08/15/2019,01/14/2020,N,10/16/2019,02/15/2020,01/14/2020,01/15/2020,AAI,,,41.907542939,-87.651503777,POINT (-87.6515037774827 41.907542938729264)
2511560-20190416,2648189,16085,3,"FOREGIVENESS, INC.",MAPLE & ASH/ EIGHT BAR,6-8 W MAPLE ST,CHICAGO,IL,60610,2,60,2-60,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2511560,RENEW,,02/22/2019,04/06/2019,N,04/16/2019,02/15/2020,04/06/2019,04/10/2019,AAI,,,41.901990808,-87.628593803,POINT (-87.62859380325996 41.90199080838916)
2563650-20190606,2563650,422493,1,BODEGA DIVISION INC,BODEGA DIVISION,2500 W DIVISION ST 1,CHICAGO,IL,60622,26,20,26-20,14,1474,Package Goods,774,Retail Sales of Packaged Liquor,2563650,ISSUE,10/19/2017,01/05/2018,12/14/2017,N,06/06/2019,03/15/2020,06/06/2019,06/06/2019,AAI,,,41.903101936,-87.689551755,POINT (-87.68955175463354 41.90310193590674)
2560001-20191116,2690962,32101,1,"MARSHALL FIELD'S CHICAGO, INC.",MACY'S,111 N STATE ST,CHICAGO,IL,60602,34,9,34-9,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2560001,RENEW,,09/15/2019,11/05/2019,N,11/16/2019,03/15/2020,11/05/2019,02/10/2020,AAI,,1,41.883473122,-87.62772975,POINT (-87.62772975002918 41.88347312241303)
2004365-20190216,2637415,147,94,WALGREEN CO.,WALGREENS # 09470,4817 W FULLERTON AVE 1,CHICAGO,IL,60639,31,21,31-21,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,2004365,RENEW,,12/15/2018,02/05/2019,N,02/16/2019,05/15/2020,02/05/2019,02/05/2019,AAI,,,41.924119024,-87.747032136,POINT (-87.74703213601244 41.92411902417522)
2003480-20190216,2637584,7551,78,"BOND DRUG COMPANY OF ILLINOIS, LLC",WALGREENS #4986,4745 W BELMONT AVE,CHICAGO,IL,60641,31,38,31-38,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,2003480,RENEW,,12/15/2018,02/05/2019,N,02/16/2019,05/15/2020,02/05/2019,02/05/2019,AAI,,,41.93872475,-87.746241481,POINT (-87.74624148144949 41.9387247499836)
